method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error
WOAPlus[init_qr],F112022,20,200000,30,103.85859777273251,303.8181235133045,33.602031894982474,36.956613840127034,0.06404356692110014,1672.6909325530996
WOAPlus[init_qr],F122022,20,200000,30,373.15807975404454,102.80966737251143,348.0528267755833,120.57075397429196,233.28048973848036,724.4442330238307
WOAPlus[init_qr],F72022,20,200000,30,60.78389174747891,44.87873761695987,58.1642710204527,65.78374411890604,0.0725859110896181,212.01946331350655
WOAPlus[init_qr],F82022,20,200000,30,588.9510121518774,414.9676650927552,483.6724461483375,484.6104100445111,49.69763453650694,1811.8000939862623
WOAPlus[init_qr],F92022,20,200000,30,363.81500112622797,29.74913337800557,350.41339772083006,25.409449894289992,336.4459139137002,452.2993530993858
WOAPlus[init_qr_crossover],F102022,20,200000,30,759.216274940798,823.5311199305088,333.7689418023115,868.6253941763257,13.034869500676905,2828.536676829691
WOAPlus[init_qr_crossover],F112022,20,200000,30,52.291751545991765,282.4201298283151,0.08926055588631243,0.09399408958563527,0.03255467249073263,1547.5772968654956
WOAPlus[init_qr_crossover],F122022,20,200000,30,245.83391189759496,15.155390658479295,244.45457501328065,23.3825490521142,225.42077498542085,280.4539350667965
WOAPlus[init_qr_crossover],F72022,20,200000,30,83.97360503742485,51.92842518457757,113.73108215712034,102.16121654734832,23.37365281420739,140.8450896861102
WOAPlus[init_qr_crossover],F82022,20,200000,30,81.28876072985321,87.56177886273458,30.621264796528976,70.92321208015062,23.56742293808793,274.74211093726944
WOAPlus[init_qr_crossover],F92022,20,200000,30,335.8918259063487,0.13761135050603232,335.8444085404624,0.13638336872122636,335.7097067012164,336.3366224662741
WOAPlus[init_qr_crossover_restart],F102022,20,200000,30,833.4311639878276,955.3942658191837,343.0340789027214,489.0789643738841,38.68703429701009,3876.669722492047
WOAPlus[init_qr_crossover_restart],F112022,20,200000,30,0.9097141023435446,2.44335703593707,0.08065925806840823,0.044593780233299185,0.03764988103966971,10.680387271391737
WOAPlus[init_qr_crossover_restart],F122022,20,200000,30,245.7943542680254,17.744634850783758,239.41614172761365,25.6136499247159,227.05488595898123,314.83798361938443
WOAPlus[init_qr_crossover_restart],F72022,20,200000,30,75.22061581809645,50.91548916574196,39.296031895637725,99.92045618169027,25.056306064070668,142.07588174669263
WOAPlus[init_qr_crossover_restart],F82022,20,200000,30,95.45862914491653,133.81359285547646,30.5020979709966,42.78857116716824,23.21857005570746,593.8271847174219
WOAPlus[init_qr_crossover_restart],F92022,20,200000,30,335.8526915832561,0.12969789385943814,335.8285044277113,0.13638374058655245,335.7103686329192,336.2022720379455
WOAPlus[init_qr_crossover_restart_perturb],F102022,20,200000,30,706.3265594760816,655.8829086379866,446.24231736889965,653.6964432062331,14.400221734539628,2668.3017211250526
WOAPlus[init_qr_crossover_restart_perturb],F112022,20,200000,30,0.0746698654409253,0.03076686675363221,0.07090365766862305,0.03015679530642501,0.03291755988766454,0.1865087417631912
WOAPlus[init_qr_crossover_restart_perturb],F122022,20,200000,30,239.5960157779981,12.639973105098141,234.7612248207654,21.283162271989227,223.81632917414754,261.02972602457703
WOAPlus[init_qr_crossover_restart_perturb],F72022,20,200000,30,76.50342676160722,49.528827214536804,39.339874858071084,97.33957284895092,22.981002235496135,137.53569920516725
WOAPlus[init_qr_crossover_restart_perturb],F82022,20,200000,30,32.24387828384203,19.077394531339344,28.385923035437827,3.2813037987452844,23.872629371579478,131.86266269787257
WOAPlus[init_qr_crossover_restart_perturb],F92022,20,200000,30,324.75320784085835,61.17260571619862,335.88717959755513,0.1600925660802659,0.8667280400627533,336.5567704138548
WOAPlus[init_qr_crossover_restart_perturb_chaos],F102022,20,200000,30,872.4499432016546,864.8175706324663,502.21837768108935,763.0269907762563,9.92400358904888,3735.245182479339
WOAPlus[init_qr_crossover_restart_perturb_chaos],F112022,20,200000,30,0.06830584159414078,0.029751324921723058,0.06230201185690021,0.033341391466819914,0.028312862298662367,0.15917599334125043
WOAPlus[init_qr_crossover_restart_perturb_chaos],F122022,20,200000,30,246.06866912609976,15.624690591611907,246.37101362684007,24.966033636928614,224.9477501375377,296.3209118797813
WOAPlus[init_qr_crossover_restart_perturb_chaos],F72022,20,200000,30,66.06715485730038,49.66197526004083,32.73043569579124,100.75504627460526,24.243991141615197,137.42849235976564
WOAPlus[init_qr_crossover_restart_perturb_chaos],F82022,20,200000,30,34.89370995894457,26.724216480219674,27.425739971735766,3.6003713284826517,22.42457662452489,139.15846709864218
WOAPlus[init_qr_crossover_restart_perturb_chaos],F92022,20,200000,30,335.86486734046593,0.13454423621507366,335.84790870953793,0.12327636413237997,335.69079413135023,336.45085075060615
WOAPlus[init_qr_crossover_restart_perturb_chaos_nm],F102022,20,200000,30,1218.1302190487115,1034.2401182226629,945.2749457604596,1694.822096186759,81.98451547224795,3195.545958296545
WOAPlus[init_qr_crossover_restart_perturb_chaos_nm],F112022,20,200000,30,0.0022402213171820525,0.0006731929126127299,0.0023413760266066674,0.0008054901929881453,0.0005884576944481523,0.003383925852176617
WOAPlus[init_qr_crossover_restart_perturb_chaos_nm],F122022,20,200000,30,246.08495165604756,14.1821596619444,243.61691777997225,19.85776389648663,227.02437339885455,284.51711566009635
WOAPlus[init_qr_crossover_restart_perturb_chaos_nm],F72022,20,200000,30,84.10795897355956,50.65921174617574,108.3469595384646,102.93976667377444,24.809913593374176,139.79336150874497
